第2シーズン
20200524
C6529 | 00:07 | 三般南喰赤祝 | ニートしたい(+53.0,+3枚) ソギモギ皇帝(+1.0,-2枚) バラク・オマタ(-54.0,-1枚)
C6529 | 00:19 | 三般南喰赤祝 | ソギモギ皇帝(+47.0,0枚) ニートしたい(-5.0,+3枚) バラク・オマタ(-42.0,-3枚)
C6529 | 00:35 | 三般南喰赤祝 | バラク・オマタ(+57.0,+3枚) ニートしたい(-10.0,-2枚) ソギモギ皇帝(-47.0,-1枚)
C6529 | 01:15 | 三般南喰赤祝 | とぅーり王(+48.0,+1枚) ソギモギ皇帝(-1.0,-1枚) バラク・オマタ(-47.0,0枚)
C6529 | 01:30 | 三般南喰赤祝 | バラク・オマタ(+59.0,+3枚) ソギモギ皇帝(-12.0,-1枚) とぅーり王(-47.0,-2枚)
C6529 | 01:49 | 三般南喰赤祝 | バラク・オマタ(+66.0,+2枚) とぅーり王(+18.0,+1枚) ソギモギ皇帝(-84.0,-3枚)
C6529 | 11:29 | 三般南喰赤祝 | kitagaw(+73.0,+1枚) さかかきばら(+6.0,+8枚) 鳥谷タカシ(-79.0,-9枚)
C6529 | 11:47 | 三般南喰赤祝 | 鳥谷タカシ(+54.0,+3枚) さかかきばら(-4.0,-2枚) kitagaw(-50.0,-1枚)
C6529 | 13:13 | 三般南喰赤祝 | ソギモギ皇帝(+122.0,+11枚) Toshi624(-41.0,-3枚) さかかきばら(-81.0,-8枚)
C6529 | 13:34 | 三般南喰赤祝 | Toshi624(+87.0,+9枚) ソギモギ皇帝(-16.0,-6枚) さかかきばら(-71.0,-3枚)
C6529 | 13:54 | 三般南喰赤祝 | ソギモギ皇帝(+45.0,+1枚) さかかきばら(0.0,-1枚) Toshi624(-45.0,0枚)
C6529 | 14:27 | 三般南喰赤祝 | 鳥谷タカシ(+64.0,-3枚) さかかきばら(-16.0,+7枚) とぅーり王(-48.0,-4枚)
C6529 | 14:39 | 三般南喰赤祝 | とぅーり王(+65.0,+4枚) さかかきばら(-8.0,-5枚) 鳥谷タカシ(-57.0,+1枚)
